"","relat_freq_soid","relat_freq_soidr","relat_freq_soidn",""
"vazba",0.140337837837838,0,1,0
"reoff",0.0588738738738739,0.0684848961198879,0,0
"viol",0.10606981981982,0.123385469883937,0,0
"nonenter",0.0471959459459459,0.0549005737640494,0,9.46521488336977e-17
"dmy_vodsouz",0.924583333333333,0.921873771909141,0.941181190820093,0
"dmy_tr_nepo",0.312916666666667,0.24314234064293,0.74033060503932,0
"dmy_tr_po",0.446677927927928,0.490319369121538,0.179345209436688,0
"vek",32.9841216216216,32.9969477848516,32.9055528807575,0.372817378154352
"dmy_cizinec",0.143536036036036,0.142340642930127,0.150858610174932,0.0134691027198843
"dmy_zena",0.108175675675676,0.115604286200844,0.0626705183758626,1.55425546446713e-101
"dmy_vzd_bez",0.0336261261261261,0.0324346983153868,0.0409244102070294,6.87685834461405e-06
"dmy_vzd_zakl",0.784966216216216,0.779991616233069,0.815438934360456,8.47514373390752e-21
"dmy_vzd_str",0.159369369369369,0.164295632581414,0.129192745947681,1.72463299101553e-26
"dmy_vzd_vys",0.0220382882882883,0.0232780528701302,0.0144439094848339,1.89460368882826e-13
"dmy_recidivist",0.0964414414414414,0.0912520631926432,0.128229818648692,2.74770839285211e-31
"dmy_prv",0.26161036036036,0.271516151850979,0.200930829722356,2.31809505994404e-71
"oca1",0.00769144144144144,0.000943173779768922,0.0490290483068528,8.86849380488402e-133
"oca2",0.0556981981981982,0.0311378343682046,0.206146685925213,0
"oca3",0.373727477477477,0.396054389687967,0.236960359492858,2.7686510268772e-302
"oca4",0.0301126126126126,0.0285179072021798,0.039881238966458,8.97384368101697e-10
"oca5",0.260281531531532,0.300662841573004,0.0129192745947681,0
"oca6",0.0842792792792793,0.076213681259661,0.133686406676296,1.5419722630452e-71
"oca7",0.0151238738738739,0.00928764180355786,0.0508746589632483,1.2591396070406e-94
"oca8",0.0315202702702703,0.0302732584034164,0.0391590434922163,1.47722985320882e-06
"oca9",0.141565315315315,0.126909271922241,0.23134328358209,1.62538910337973e-149
"dmy_okol_doprava",0.198141891891892,0.225615027902224,0.0298507462686567,0
"dmy_okol_alkohol",0.11963963963964,0.13108805575205,0.0495105119563473,1.42558467835863e-269
"dmy_okol_drugs",0.0658220720720721,0.0470014933584846,0.181110576151501,1.42558467835863e-269
"dmy_okol_finance",0.0283445945945946,0.0265398621918311,0.0393997753169636,2.67866762585601e-12
"dmy_obet_zena",0.102286036036036,0.080235269459509,0.23736157920077,0
"dmy_obet_dite",0.0377477477477478,0.035303518562184,0.0527202696196437,1.6732624954041e-16
"dmy_obet_muz",0.0971283783783784,0.0874400691660772,0.156475686085701,7.30952992006132e-90
"",0.0381022727272727,0.0301704545454545,0.00793181818181818,1
"",0.155306818181818,0.134534090909091,0.0207727272727273,2
"",0.170068181818182,0.147534090909091,0.0225340909090909,3
"",0.162125,0.132988636363636,0.0291363636363636,4
"",0.105727272727273,0.0893863636363636,0.0163409090909091,5
"",0.0554772727272727,0.0426136363636364,0.0128636363636364,6
"",0.0898295454545455,0.0721136363636364,0.0177159090909091,7
"",0.232454545454545,0.218136363636364,0.0143181818181818,8
